iteration,log_likelihood
0,-816.259
1,-480.618
2,-469.022
3,-442.938
4,-409.048
5,-399.659
6,-395.677
7,-392.703
8,-389.093
9,-382.914
10,-370.506
11,-334.135
12,-318.197
13,-313.269
14,-309.462
15,-308.155
16,-307.574
17,-306.708
18,-304.894
19,-304.131
20,-303.967
21,-303.908
22,-303.885
23,-303.874
24,-303.869
25,-303.867
26,-303.865
27,-303.863
28,-303.862
29,-303.862
30,-303.861
31,-303.861
32,-303.86
33,-303.86
34,-303.86
35,-303.859
36,-303.859
37,-303.859
38,-303.859
39,-303.859
40,-303.859
41,-303.859
42,-303.859
43,-303.859
44,-303.859
45,-303.859
46,-303.859
47,-303.859
48,-303.859
49,-303.859
50,-303.859
51,-303.859
52,-303.859
53,-303.859
54,-303.859
55,-303.859
56,-303.859
57,-303.859
58,-303.859
59,-303.859
60,-303.859
61,-303.859
62,-303.859
63,-303.859
64,-303.859
65,-303.859
66,-303.859
67,-303.859
68,-303.859
69,-303.859
70,-303.859
71,-303.859
72,-303.859
73,-303.859
74,-303.859
75,-303.859
76,-303.859
77,-303.859
78,-303.859
79,-303.859
80,-303.859
81,-303.859
82,-303.859
83,-303.859
84,-303.859
85,-303.859
86,-303.859
87,-303.859
88,-303.859
89,-303.859
90,-303.859
91,-303.859
92,-303.859
93,-303.859
94,-303.859
95,-303.859
96,-303.859
97,-303.859
98,-303.859
99,-303.859
100,-303.859
101,-303.859
102,-303.859
103,-303.859
104,-303.859
105,-303.859
106,-303.859
107,-303.859
108,-303.859
109,-303.859
110,-303.859
111,-303.859
112,-303.859
113,-303.859
114,-303.859
115,-303.859
116,-303.859
117,-303.859
118,-303.859
119,-303.859
120,-303.859
121,-303.859
122,-303.859
123,-303.859
124,-303.859
125,-303.859
126,-303.859
127,-303.859
128,-303.859
129,-303.859
130,-303.859
131,-303.859
132,-303.859
133,-303.859
134,-303.859
135,-303.859
136,-303.859
137,-303.859
138,-303.859
139,-303.859
140,-303.859
141,-303.859
142,-303.859
143,-303.859
144,-303.859
145,-303.859
146,-303.859
147,-303.859
148,-303.859
149,-303.859
150,-303.859
151,-303.859
152,-303.859
153,-303.859
154,-303.859
155,-303.859
156,-303.859
157,-303.859
158,-303.859
159,-303.859
160,-303.859
161,-303.859
162,-303.859
163,-303.859
164,-303.859
165,-303.859
166,-303.859
167,-303.859
168,-303.859
169,-303.859
170,-303.859
171,-303.859
172,-303.859
173,-303.859
174,-303.859
175,-303.859
176,-303.859
177,-303.859
178,-303.859
179,-303.859
180,-303.859
181,-303.859
182,-303.859
183,-303.859
184,-303.859
185,-303.859
186,-303.859
187,-303.859
188,-303.859
189,-303.859
190,-303.859
191,-303.859
192,-303.859
193,-303.859
194,-303.859
195,-303.859
196,-303.859
197,-303.859
198,-303.859
199,-303.859
200,-303.859
201,-303.859
202,-303.859
203,-303.859
204,-303.859
205,-303.859
206,-303.859
207,-303.859
208,-303.859
209,-303.859
210,-303.859
211,-303.859
212,-303.859
213,-303.859
214,-303.859
215,-303.859
216,-303.859
217,-303.859
218,-303.859
219,-303.859
220,-303.859
221,-303.859
222,-303.859
223,-303.859
224,-303.859
225,-303.859
226,-303.859
227,-303.859
228,-303.859
229,-303.859
230,-303.859
231,-303.859
232,-303.859
233,-303.859
234,-303.859
235,-303.859
236,-303.859
237,-303.859
238,-303.859
239,-303.859
240,-303.859
241,-303.859
242,-303.859
243,-303.859
244,-303.859
245,-303.859
246,-303.859
247,-303.859
248,-303.859
249,-303.859
250,-303.859
251,-303.859
252,-303.859
253,-303.859
254,-303.859
255,-303.859
256,-303.859
257,-303.859
258,-303.859
259,-303.859
260,-303.859
261,-303.859
262,-303.859
263,-303.859
264,-303.859
265,-303.859
266,-303.859
267,-303.859
268,-303.859
269,-303.859
270,-303.859
271,-303.859
272,-303.859
273,-303.859
274,-303.859
275,-303.859
276,-303.859
277,-303.859
278,-303.859
279,-303.859
280,-303.859
281,-303.859
282,-303.859
283,-303.859
284,-303.859
285,-303.859
286,-303.859
287,-303.859
288,-303.859
289,-303.859
290,-303.859
291,-303.859
292,-303.859
293,-303.859
294,-303.859
295,-303.859
296,-303.859
297,-303.859
298,-303.859
299,-303.859
300,-303.859
301,-303.859
302,-303.859
303,-303.859
304,-303.859
305,-303.859
306,-303.859
307,-303.859
308,-303.859
309,-303.859
310,-303.859
311,-303.859
312,-303.859
313,-303.859
314,-303.859
315,-303.859
316,-303.859
317,-303.859
318,-303.859
319,-303.859
320,-303.859
321,-303.859
322,-303.859
323,-303.859
324,-303.859
325,-303.859
326,-303.859
327,-303.859
328,-303.859
329,-303.859
330,-303.859
331,-303.859
