iteration,log_likelihood
0,-2581404.261439712
1,-2564104.36675737
2,-2556997.0943549667
3,-2554859.3549245163
4,-2554117.843992245
5,-2553769.4140029433
6,-2553573.1869087704
7,-2553452.491059334
8,-2553375.0251076836
9,-2553324.4228862817
10,-2553291.1807250003
11,-2553269.242420767
12,-2553254.602518004
13,-2553244.6185376924
14,-2553237.5773788313
15,-2553232.3883045265
16,-2553228.366487335
17,-2553225.0862159333
18,-2553222.284788503
19,-2553219.8010872407
20,-2553217.5368910027
21,-2553215.4327154593
22,-2553213.452800115
23,-2553211.575808773
24,-2553209.7890837328
25,-2553208.0851054387
26,-2553206.4593191496
27,-2553204.9088084074
28,-2553203.4314928353
29,-2553202.025650513
30,-2553200.6896411804
31,-2553199.4217535458
32,-2553198.2201290717
33,-2553197.0827325843
34,-2553196.0073511815
35,-2553194.991609771
36,-2553194.0329958973
37,-2553193.1288891356
38,-2553192.2765920525
39,-2553191.473360801
40,-2553190.7164341137
41,-2553190.0030599283
42,-2553189.3305192157
43,-2553188.696146765
44,-2553188.097348886
45,-2553187.5316180564
46,-2553186.9965446666
47,-2553186.4898260357
48,-2553186.00927293
49,-2553185.5528138317
50,-2553185.1184972166
51,-2553184.704492103
52,-2553184.3090871167
53,-2553183.930688333
54,-2553183.5678160973
55,-2553183.219101044
56,-2553182.8832795047
57,-2553182.5591884647
58,-2553182.245760209
59,-2553181.942016795
60,-2553181.6470644437
61,-2553181.360087953
62,-2553181.0803451845
63,-2553180.8071617093
64,-2553180.539925624
65,-2553180.278082607
66,-2553180.021131199
67,-2553179.7686183597
68,-2553179.520135293
69,-2553179.275313527
70,-2553179.0338212918
71,-2553178.795360136
72,-2553178.5596618177
73,-2553178.326485436
74,-2553178.095614799
75,-2553177.86685601
76,-2553177.640035273
77,-2553177.4149968857
78,-2553177.1916014114
79,-2553176.969724033
80,-2553176.7492530486
81,-2553176.5300885225
82,-2553176.3121410566
83,-2553176.095330689
84,-2553175.879585903
85,-2553175.6648427323
86,-2553175.4510439564
87,-2553175.238138384
88,-2553175.026080205
89,-2553174.81482841
90,-2553174.6043462767
91,-2553174.3946009018
92,-2553174.1855627904
93,-2553173.9772054823
94,-2553173.7695052265
95,-2553173.562440679
96,-2553173.355992646
97,-2553173.1501438473
98,-2553172.9448787053
99,-2553172.740183162
100,-2553172.536044509
101,-2553172.3324512434
102,-2553172.1293929336
103,-2553171.9268601052
104,-2553171.7248441316
105,-2553171.5233371467
106,-2553171.3223319612
107,-2553171.121821984
108,-2553170.9218011657
109,-2553170.722263932
110,-2553170.5232051383
111,-2553170.324620021
112,-2553170.1265041563
113,-2553169.928853425
114,-2553169.73166398
115,-2553169.5349322166
116,-2553169.338654748
117,-2553169.142828383
118,-2553168.9474501032
119,-2553168.752517048
120,-2553168.558026497
121,-2553168.363975855
122,-2553168.170362643
123,-2553167.9771844796
124,-2553167.7844390813
125,-2553167.5921242423
126,-2553167.400237834
127,-2553167.208777796
128,-2553167.0177421295
129,-2553166.8271288914
130,-2553166.6369361873
131,-2553166.4471621723
132,-2553166.257805042
133,-2553166.06886303
134,-2553165.880334406
135,-2553165.692217473
136,-2553165.5045105615
137,-2553165.317212031
138,-2553165.130320266
139,-2553164.9438336743
140,-2553164.7577506863
141,-2553164.572069753
142,-2553164.386789342
143,-2553164.201907941
144,-2553164.017424055
145,-2553163.8333362015
146,-2553163.6496429145
147,-2553163.4663427435
148,-2553163.2834342485
149,-2553163.100916005
150,-2553162.918786598
151,-2553162.7370446245
152,-2553162.5556886923
153,-2553162.374717422
154,-2553162.1941294395
155,-2553162.013923386
156,-2553161.8340979093
157,-2553161.654651664
158,-2553161.475583318
159,-2553161.2968915454
160,-2553161.118575028
161,-2553160.9406324574
162,-2553160.7630625307
163,-2553160.5858639544
164,-2553160.4090354424
165,-2553160.2325757155
166,-2553160.0564835016
167,-2553159.880757536
168,-2553159.705396561
169,-2553159.5303993234
170,-2553159.355764581
171,-2553159.181491095
172,-2553159.0075776326
173,-2553158.83402297
174,-2553158.660825887
175,-2553158.4879851714
176,-2553158.3154996163
177,-2553158.1433680207
178,-2553157.971589191
179,-2553157.8001619363
180,-2553157.629085074
181,-2553157.4583574273
182,-2553157.2879778245
183,-2553157.117945098
184,-2553156.9482580894
185,-2553156.778915642
186,-2553156.6099166065
187,-2553156.441259839
188,-2553156.2729442003
189,-2553156.1049685567
190,-2553155.937331781
191,-2553155.7700327476
192,-2553155.603070341
193,-2553155.4364434476
194,-2553155.2701509595
195,-2553155.1041917736
196,-2553154.938564793
197,-2553154.7732689236
198,-2553154.60830308
199,-2553154.4436661764
200,-2553154.2793571367
201,-2553154.1153748874
202,-2553153.951718359
203,-2553153.788386489
204,-2553153.625378217
205,-2553153.46269249
206,-2553153.3003282584
207,-2553153.138284476
208,-2553152.976560103
209,-2553152.815154103
210,-2553152.6540654455
211,-2553152.4932931033
212,-2553152.3328360533
213,-2553152.1726932786
214,-2553152.0128637645
215,-2553151.853346503
216,-2553151.6941404883
217,-2553151.5352447205
218,-2553151.3766582017
219,-2553151.2183799436
220,-2553151.0604089545
221,-2553150.902744254
222,-2553150.745384861
