iteration,log_likelihood
0,-2581404.261439898
1,-2564104.366757518
2,-2556997.0943550174
3,-2554859.354924579
4,-2554117.8439923525
5,-2553769.4140030583
6,-2553573.186908894
7,-2553452.491059437
8,-2553375.025107807
9,-2553324.4228864317
10,-2553291.1807251167
11,-2553269.242420915
12,-2553254.6025181296
13,-2553244.618537849
14,-2553237.577378978
15,-2553232.388304678
16,-2553228.3664874556
17,-2553225.0862160604
18,-2553222.284788633
19,-2553219.801087385
20,-2553217.5368911405
21,-2553215.432715587
22,-2553213.4528002767
23,-2553211.575808915
24,-2553209.789083876
25,-2553208.0851055807
26,-2553206.4593192884
27,-2553204.9088085364
28,-2553203.4314929936
29,-2553202.0256506735
30,-2553200.6896413364
31,-2553199.421753683
32,-2553198.2201292026
33,-2553197.082732747
34,-2553196.007351327
35,-2553194.991609929
36,-2553194.0329960478
37,-2553193.1288892804
38,-2553192.2765922053
39,-2553191.4733609534
40,-2553190.7164342464
41,-2553190.0030600666
42,-2553189.330519344
43,-2553188.6961469147
44,-2553188.097349013
45,-2553187.5316182054
46,-2553186.996544816
47,-2553186.489826179
48,-2553186.0092731123
49,-2553185.5528139984
50,-2553185.1184973926
51,-2553184.7044922523
52,-2553184.309087251
53,-2553183.9306885004
54,-2553183.567816249
55,-2553183.219101184
56,-2553182.8832796626
57,-2553182.5591886053
58,-2553182.245760365
59,-2553181.9420169396
60,-2553181.6470646006
61,-2553181.360088101
62,-2553181.08034536
63,-2553180.807161862
64,-2553180.5399257527
65,-2553180.278082772
66,-2553180.021131349
67,-2553179.7686185157
68,-2553179.5201354274
69,-2553179.2753136647
70,-2553179.0338214296
71,-2553178.795360316
72,-2553178.559661963
73,-2553178.3264856036
74,-2553178.0956149464
75,-2553177.8668561615
76,-2553177.640035448
77,-2553177.4149970594
78,-2553177.1916015693
79,-2553176.9697241974
80,-2553176.7492532074
81,-2553176.530088696
82,-2553176.3121412355
83,-2553176.0953308274
84,-2553175.8795860754
85,-2553175.6648429
86,-2553175.451044118
87,-2553175.2381385313
