iteration,log_likelihood
0,-2581404.261439712
1,-2564104.366757368
2,-2556997.094354966
3,-2554859.3549245144
4,-2554117.8439922445
5,-2553769.4140029433
6,-2553573.186908773
7,-2553452.491059332
8,-2553375.025107684
9,-2553324.4228862813
10,-2553291.180725
11,-2553269.242420766
12,-2553254.6025180044
13,-2553244.618537692
14,-2553237.5773788323
15,-2553232.388304526
16,-2553228.366487335
17,-2553225.086215933
18,-2553222.284788504
19,-2553219.8010872398
20,-2553217.536891002
21,-2553215.4327154597
22,-2553213.452800115
23,-2553211.575808773
24,-2553209.7890837328
25,-2553208.0851054387
26,-2553206.4593191505
27,-2553204.9088084092
28,-2553203.4314928357
29,-2553202.025650514
30,-2553200.689641181
31,-2553199.421753545
32,-2553198.220129071
33,-2553197.082732585
34,-2553196.0073511815
35,-2553194.9916097713
36,-2553194.0329958964
37,-2553193.1288891365
38,-2553192.2765920516
39,-2553191.473360803
40,-2553190.7164341137
41,-2553190.0030599274
42,-2553189.330519216
43,-2553188.6961467653
44,-2553188.097348887
45,-2553187.531618056
46,-2553186.996544666
47,-2553186.489826034
48,-2553186.0092729297
49,-2553185.552813832
50,-2553185.1184972166
51,-2553184.704492103
52,-2553184.3090871163
53,-2553183.9306883328
54,-2553183.5678160978
55,-2553183.219101044
56,-2553182.8832795057
57,-2553182.5591884623
58,-2553182.2457602085
59,-2553181.942016795
60,-2553181.6470644446
61,-2553181.360087953
62,-2553181.0803451845
63,-2553180.807161709
64,-2553180.539925626
65,-2553180.278082607
66,-2553180.0211311984
67,-2553179.76861836
68,-2553179.520135291
69,-2553179.275313527
70,-2553179.0338212913
71,-2553178.7953601344
72,-2553178.5596618177
73,-2553178.326485435
74,-2553178.0956147998
75,-2553177.866856009
76,-2553177.640035273
77,-2553177.414996886
78,-2553177.191601411
79,-2553176.969724033
80,-2553176.74925305
81,-2553176.530088522
82,-2553176.3121410552
83,-2553176.095330688
84,-2553175.879585901
85,-2553175.664842731
86,-2553175.4510439564
87,-2553175.238138384
88,-2553175.026080205
89,-2553174.814828409
90,-2553174.6043462753
91,-2553174.3946009013
92,-2553174.1855627904
93,-2553173.9772054814
94,-2553173.7695052256
95,-2553173.562440678
96,-2553173.355992646
97,-2553173.150143847
98,-2553172.9448787053
99,-2553172.7401831606
100,-2553172.536044508
101,-2553172.3324512425
102,-2553172.1293929345
103,-2553171.9268601043
104,-2553171.724844132
105,-2553171.5233371463
106,-2553171.322331962
107,-2553171.1218219837
108,-2553170.9218011647
109,-2553170.7222639294
110,-2553170.5232051387
111,-2553170.3246200215
112,-2553170.126504157
113,-2553169.9288534247
114,-2553169.7316639805
115,-2553169.5349322166
116,-2553169.3386547477
117,-2553169.142828382
118,-2553168.9474501037
119,-2553168.7525170464
120,-2553168.5580264973
121,-2553168.3639758555
122,-2553168.1703626425
123,-2553167.9771844787
124,-2553167.784439081
125,-2553167.5921242405
126,-2553167.4002378345
127,-2553167.208777795
128,-2553167.0177421304
129,-2553166.827128891
130,-2553166.6369361863
131,-2553166.4471621728
132,-2553166.257805042
133,-2553166.0688630287
134,-2553165.8803344043
135,-2553165.6922174734
136,-2553165.5045105615
137,-2553165.3172120294
138,-2553165.1303202664
139,-2553164.9438336743
140,-2553164.757750686
141,-2553164.5720697534
142,-2553164.386789342
143,-2553164.201907941
144,-2553164.017424055
145,-2553163.8333362006
146,-2553163.649642914
147,-2553163.4663427426
148,-2553163.2834342504
149,-2553163.100916006
150,-2553162.918786598
151,-2553162.7370446236
152,-2553162.555688692
153,-2553162.37471742
154,-2553162.19412944
155,-2553162.0139233842
156,-2553161.834097909
157,-2553161.654651664
158,-2553161.475583317
159,-2553161.296891546
160,-2553161.1185750295
161,-2553160.9406324583
162,-2553160.76306253
163,-2553160.585863954
164,-2553160.4090354415
165,-2553160.2325757146
166,-2553160.056483503
167,-2553159.8807575363
168,-2553159.7053965596
169,-2553159.530399322
170,-2553159.3557645804
171,-2553159.1814910956
172,-2553159.007577632
173,-2553158.8340229704
174,-2553158.6608258854
175,-2553158.4879851714
176,-2553158.3154996173
177,-2553158.143368019
178,-2553157.9715891886
179,-2553157.800161935
180,-2553157.629085074
181,-2553157.4583574287
182,-2553157.2879778235
183,-2553157.1179450992
184,-2553156.9482580894
185,-2553156.778915642
186,-2553156.609916607
187,-2553156.4412598386
188,-2553156.2729442003
189,-2553156.104968558
190,-2553155.937331781
191,-2553155.770032748
192,-2553155.6030703406
193,-2553155.4364434476
194,-2553155.270150958
195,-2553155.104191774
196,-2553154.9385647923
197,-2553154.773268923
198,-2553154.6083030794
199,-2553154.4436661764
200,-2553154.2793571344
201,-2553154.115374887
202,-2553153.9517183597
203,-2553153.7883864897
204,-2553153.625378218
